sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000000,gzip,16384,16407,1.00140380859375,0.2124,0.0059,True
sample_000000,bz2,16384,16841,1.02789306640625,1.8714,0.617,True
sample_000000,lzma,16384,16444,1.003662109375,6.9091,0.0409,True
sample_000000,zstd,16384,16394,1.0006103515625,0.02,0.0012,True
sample_000001,gzip,16384,2720,0.166015625,5.0582,0.0186,True
sample_000001,bz2,16384,2697,0.16461181640625,1.1961,0.3356,True
sample_000001,lzma,16384,2612,0.159423828125,10.0736,0.1404,True
sample_000001,zstd,16384,3123,0.19061279296875,0.0472,0.0202,True
sample_000002,gzip,16384,58,0.0035400390625,0.0296,0.0066,True
sample_000002,bz2,16384,51,0.00311279296875,1.4014,0.0863,True
sample_000002,lzma,16384,124,0.007568359375,4.3003,0.0455,True
sample_000002,zstd,16384,22,0.0013427734375,0.0076,0.0034,True
sample_000003,gzip,16384,85,0.00518798828125,0.052,0.0075,True
sample_000003,bz2,16384,130,0.0079345703125,0.1,0.0474,True
sample_000003,lzma,16384,148,0.009033203125,4.4261,0.0571,True
sample_000003,zstd,16384,54,0.0032958984375,0.0075,0.0036,True
sample_000004,gzip,16384,2500,0.152587890625,0.2002,0.0171,True
sample_000004,bz2,16384,1733,0.10577392578125,1.0575,0.1807,True
sample_000004,lzma,16384,2276,0.138916015625,7.7982,0.1392,True
sample_000004,zstd,16384,2789,0.17022705078125,0.0425,0.0167,True
sample_000005,gzip,16384,7637,0.46612548828125,0.2436,0.038,True
sample_000005,bz2,16384,7397,0.45147705078125,2.5825,0.4519,True
sample_000005,lzma,16384,6792,0.41455078125,6.5057,0.3668,True
sample_000005,zstd,16384,7637,0.46612548828125,0.0777,0.0185,True
sample_000006,gzip,65536,65574,1.000579833984375,0.9753,0.014,True
sample_000006,bz2,65536,66181,1.0098419189453125,5.1004,2.3647,True
sample_000006,lzma,65536,65600,1.0009765625,16.3002,0.0944,True
sample_000006,zstd,65536,65546,1.000152587890625,0.1711,0.0022,True
sample_000007,gzip,65536,29243,0.4462127685546875,5.8742,0.158,True
sample_000007,bz2,65536,25562,0.390045166015625,4.089,1.7231,True
sample_000007,lzma,65536,27424,0.41845703125,15.3516,1.2099,True
sample_000007,zstd,65536,28218,0.430572509765625,0.6201,0.0965,True
sample_000008,gzip,65536,434,0.006622314453125,0.1313,0.0148,True
sample_000008,bz2,65536,449,0.0068511962890625,7.2141,0.4241,True
sample_000008,lzma,65536,280,0.0042724609375,4.8597,0.118,True
sample_000008,zstd,65536,148,0.00225830078125,0.114,0.0023,True
sample_000009,gzip,65536,692,0.01055908203125,0.806,0.0192,True
sample_000009,bz2,65536,1299,0.0198211669921875,0.5532,0.2197,True
sample_000009,lzma,65536,636,0.00970458984375,6.2446,0.189,True
sample_000009,zstd,65536,475,0.0072479248046875,0.1256,0.0149,True
sample_000010,gzip,65536,9071,0.1384124755859375,1.5485,0.0725,True
sample_000010,bz2,65536,6680,0.1019287109375,4.0771,0.7363,True
sample_000010,lzma,65536,7408,0.113037109375,19.0982,0.504,True
sample_000010,zstd,65536,10899,0.1663055419921875,0.2825,0.0613,True
sample_000011,gzip,65536,19289,0.2943267822265625,3.9212,0.0763,True
sample_000011,bz2,65536,18564,0.28326416015625,8.5375,1.1219,True
sample_000011,lzma,65536,17588,0.26837158203125,14.4367,0.9071,True
sample_000011,zstd,65536,19215,0.2931976318359375,0.1923,0.0411,True
sample_000012,gzip,262144,262242,1.0003738403320312,4.7554,0.2192,True
sample_000012,bz2,262144,263742,1.0060958862304688,20.1222,10.3804,True
sample_000012,lzma,262144,262216,1.000274658203125,50.5743,0.4774,True
sample_000012,zstd,262144,262159,1.0000572204589844,0.3282,0.006,True
sample_000013,gzip,262144,39821,0.15190505981445312,265.5405,0.2239,True
sample_000013,bz2,262144,42018,0.16028594970703125,15.2591,6.4492,True
sample_000013,lzma,262144,36616,0.139678955078125,142.6753,1.8048,True
sample_000013,zstd,262144,49539,0.18897628784179688,0.8836,0.305,True
sample_000014,gzip,262144,571,0.002178192138671875,0.2991,0.1914,True
sample_000014,bz2,262144,111,0.000423431396484375,26.0867,2.1695,True
sample_000014,lzma,262144,192,0.000732421875,7.0697,0.6989,True
sample_000014,zstd,262144,48,0.00018310546875,0.262,0.0285,True
sample_000015,gzip,262144,32425,0.12369155883789062,7.658,0.2335,True
sample_000015,bz2,262144,23926,0.09127044677734375,3.5424,1.9418,True
sample_000015,lzma,262144,21480,0.081939697265625,77.153,2.0417,True
sample_000015,zstd,262144,20851,0.07954025268554688,0.5749,0.3046,True
sample_000016,gzip,262144,34985,0.13345718383789062,6.2649,0.2415,True
sample_000016,bz2,262144,25547,0.09745407104492188,19.814,3.6974,True
sample_000016,lzma,262144,26400,0.1007080078125,82.1101,2.0412,True
sample_000016,zstd,262144,43038,0.16417694091796875,0.7931,0.2628,True
sample_000017,gzip,262144,85795,0.3272819519042969,25.1663,0.4823,True
sample_000017,bz2,262144,82983,0.3165550231933594,36.5341,5.0847,True
sample_000017,lzma,262144,78812,0.3006439208984375,58.4312,5.366,True
sample_000017,zstd,262144,88124,0.3361663818359375,0.9432,0.2326,True
sample_000018,gzip,1048576,1048914,1.0003223419189453,20.4216,1.0409,True
sample_000018,bz2,1048576,1053597,1.0047883987426758,95.9355,59.9335,True
sample_000018,lzma,1048576,1048688,1.0001068115234375,217.5083,1.9559,True
sample_000018,zstd,1048576,1048609,1.0000314712524414,0.7603,0.3379,True
sample_000019,gzip,1048576,599997,0.5722017288208008,50.0565,3.8909,True
sample_000019,bz2,1048576,534084,0.5093421936035156,77.6512,52.8881,True
sample_000019,lzma,1048576,563736,0.5376205444335938,503.0091,33.7239,True
sample_000019,zstd,1048576,542747,0.517603874206543,12.1905,2.3254,True
sample_000020,gzip,1048576,1572,0.001499176025390625,2.0817,0.9704,True
sample_000020,bz2,1048576,139,0.00013256072998046875,139.6253,5.9212,True
sample_000020,lzma,1048576,292,0.000278472900390625,19.4879,1.9398,True
sample_000020,zstd,1048576,112,0.0001068115234375,0.3292,0.4143,True
sample_000021,gzip,1048576,9519,0.009078025817871094,30.1056,0.8388,True
sample_000021,bz2,1048576,11341,0.010815620422363281,7.3831,4.2275,True
sample_000021,lzma,1048576,7920,0.0075531005859375,47.3016,3.4649,True
sample_000021,zstd,1048576,9458,0.009019851684570312,0.6623,0.5667,True
sample_000022,gzip,1048576,137420,0.13105392456054688,32.8429,1.8057,True
sample_000022,bz2,1048576,104632,0.09978485107421875,114.4463,40.384,True
sample_000022,lzma,1048576,100252,0.09560775756835938,592.3843,9.2933,True
sample_000022,zstd,1048576,172555,0.16456127166748047,5.5283,2.1891,True
sample_000023,gzip,1048576,364627,0.3477354049682617,35.4558,1.8865,True
sample_000023,bz2,1048576,349236,0.3330574035644531,267.2528,28.4889,True
sample_000023,lzma,1048576,343440,0.3275299072265625,199.9078,17.6716,True
sample_000023,zstd,1048576,353559,0.33718013763427734,4.2048,1.2226,True
sample_000024,gzip,16384,16407,1.00140380859375,0.2815,0.0124,True
sample_000024,bz2,16384,16849,1.02838134765625,4.0416,1.0519,True
sample_000024,lzma,16384,16444,1.003662109375,9.592,0.0658,True
sample_000024,zstd,16384,16394,1.0006103515625,0.0424,0.0034,True
sample_000025,gzip,16384,5199,0.31732177734375,3.3407,0.0447,True
sample_000025,bz2,16384,4577,0.27935791015625,2.0885,0.4365,True
sample_000025,lzma,16384,4932,0.301025390625,10.5794,0.4223,True
sample_000025,zstd,16384,5553,0.33892822265625,0.1897,0.0642,True
sample_000026,gzip,16384,270,0.0164794921875,0.0616,0.0177,True
sample_000026,bz2,16384,389,0.02374267578125,4.0835,0.2121,True
sample_000026,lzma,16384,256,0.015625,5.0037,0.0891,True
sample_000026,zstd,16384,148,0.009033203125,0.0175,0.0037,True
sample_000027,gzip,16384,97,0.00592041015625,0.1714,0.0149,True
sample_000027,bz2,16384,150,0.0091552734375,0.1781,0.0816,True
sample_000027,lzma,16384,156,0.009521484375,4.9038,0.0999,True
sample_000027,zstd,16384,65,0.00396728515625,0.0236,0.0119,True
sample_000028,gzip,16384,2505,0.15289306640625,0.3364,0.0214,True
sample_000028,bz2,16384,1734,0.1058349609375,1.5389,0.2581,True
sample_000028,lzma,16384,2288,0.1396484375,8.6026,0.1716,True
sample_000028,zstd,16384,2799,0.17083740234375,0.0608,0.0238,True
sample_000029,gzip,16384,6213,0.37921142578125,0.2253,0.0347,True
sample_000029,bz2,16384,6173,0.37677001953125,2.5855,0.4219,True
sample_000029,lzma,16384,5772,0.352294921875,7.0585,0.3821,True
sample_000029,zstd,16384,6206,0.3787841796875,0.065,0.0189,True
sample_000030,gzip,65536,65574,1.000579833984375,1.4014,0.0195,True
sample_000030,bz2,65536,66177,1.0097808837890625,8.0426,3.0617,True
