feature,count,mean,population_std,min,median,max
file_size,1008,348160,414708.62206614419,16384,163840,1048576
entropy,1008,5.4889206034168749,2.1839005166104886,0.9998792218129956,5.8515010089121713,7.9998532047907336
unique_byte_count,1008,130.88789682539684,114.61801783421018,2,93.5,256
most_common_byte_ratio,1008,0.099262041704995294,0.11341831013216593,0.0040407180786131997,0.0625,0.5064697265625
zero_byte_ratio,1008,0.0021881470604548283,0.0047719091915014392,0,0,0.0625
adjacent_repeat_ratio,1008,0.25151668419562795,0.3499787029320548,0,0.0616613553505891,0.99938961118232317
average_run_length,1008,58.51699149368784,219.84698604355293,1,1.0657126776018293,1489.4545454545455
max_run_length,1008,199.2797619047619,504.57268883737481,1,5,2048
duplicate_block_ratio,1008,0.3913420873974997,0.39343279055842029,0,0.3333740234375,0.99998474121093761
bigram_diversity,1008,0.23931364094588878,0.36349229204289507,6.103515625e-05,0.0098272599645973999,1
segment_entropy_mean,1008,4.7401265619975144,1.9901129635936214,0.99965740922069557,4.5563047150999623,7.9584824388237614
segment_entropy_std,1008,0.33474765405670187,0.70955910064308114,0,0.0050515029230973002,2.6882718577573312
