generator,mode,algorithm,win_count,total_count,win_rate
long_runs,archive,gzip,0,168,0
long_runs,archive,bz2,0,168,0
long_runs,archive,lzma,0,168,0
long_runs,archive,zstd,168,168,1
long_runs,balanced,gzip,0,168,0
long_runs,balanced,bz2,0,168,0
long_runs,balanced,lzma,0,168,0
long_runs,balanced,zstd,168,168,1
long_runs,fast_access,gzip,1,168,0.0059523809523809521
long_runs,fast_access,bz2,0,168,0
long_runs,fast_access,lzma,0,168,0
long_runs,fast_access,zstd,167,168,0.99404761904761907
mixed,archive,gzip,0,168,0
mixed,archive,bz2,0,168,0
mixed,archive,lzma,0,168,0
mixed,archive,zstd,168,168,1
mixed,balanced,gzip,0,168,0
mixed,balanced,bz2,0,168,0
mixed,balanced,lzma,0,168,0
mixed,balanced,zstd,168,168,1
mixed,fast_access,gzip,1,168,0.0059523809523809521
mixed,fast_access,bz2,0,168,0
mixed,fast_access,lzma,0,168,0
mixed,fast_access,zstd,167,168,0.99404761904761907
random,archive,gzip,0,168,0
random,archive,bz2,0,168,0
random,archive,lzma,0,168,0
random,archive,zstd,168,168,1
random,balanced,gzip,0,168,0
random,balanced,bz2,0,168,0
random,balanced,lzma,0,168,0
random,balanced,zstd,168,168,1
random,fast_access,gzip,0,168,0
random,fast_access,bz2,0,168,0
random,fast_access,lzma,0,168,0
random,fast_access,zstd,168,168,1
repeated_pattern,archive,gzip,0,168,0
repeated_pattern,archive,bz2,0,168,0
repeated_pattern,archive,lzma,0,168,0
repeated_pattern,archive,zstd,168,168,1
repeated_pattern,balanced,gzip,0,168,0
repeated_pattern,balanced,bz2,0,168,0
repeated_pattern,balanced,lzma,0,168,0
repeated_pattern,balanced,zstd,168,168,1
repeated_pattern,fast_access,gzip,0,168,0
repeated_pattern,fast_access,bz2,0,168,0
repeated_pattern,fast_access,lzma,0,168,0
repeated_pattern,fast_access,zstd,168,168,1
small_alphabet,archive,gzip,0,168,0
small_alphabet,archive,bz2,0,168,0
small_alphabet,archive,lzma,0,168,0
small_alphabet,archive,zstd,168,168,1
small_alphabet,balanced,gzip,0,168,0
small_alphabet,balanced,bz2,0,168,0
small_alphabet,balanced,lzma,0,168,0
small_alphabet,balanced,zstd,168,168,1
small_alphabet,fast_access,gzip,1,168,0.0059523809523809521
small_alphabet,fast_access,bz2,0,168,0
small_alphabet,fast_access,lzma,0,168,0
small_alphabet,fast_access,zstd,167,168,0.99404761904761907
structured,archive,gzip,8,168,0.047619047619047616
structured,archive,bz2,0,168,0
structured,archive,lzma,0,168,0
structured,archive,zstd,160,168,0.95238095238095233
structured,balanced,gzip,5,168,0.02976190476190476
structured,balanced,bz2,0,168,0
structured,balanced,lzma,0,168,0
structured,balanced,zstd,163,168,0.97023809523809523
structured,fast_access,gzip,9,168,0.053571428571428568
structured,fast_access,bz2,0,168,0
structured,fast_access,lzma,0,168,0
structured,fast_access,zstd,159,168,0.9464285714285714
