size,mode,algorithm,win_count,total_count,win_rate
16384,archive,gzip,1,252,0.003968253968253968
16384,archive,bz2,0,252,0
16384,archive,lzma,0,252,0
16384,archive,zstd,251,252,0.99603174603174605
16384,balanced,gzip,1,252,0.003968253968253968
16384,balanced,bz2,0,252,0
16384,balanced,lzma,0,252,0
16384,balanced,zstd,251,252,0.99603174603174605
16384,fast_access,gzip,4,252,0.015873015873015872
16384,fast_access,bz2,0,252,0
16384,fast_access,lzma,0,252,0
16384,fast_access,zstd,248,252,0.98412698412698407
65536,archive,gzip,3,252,0.011904761904761904
65536,archive,bz2,0,252,0
65536,archive,lzma,0,252,0
65536,archive,zstd,249,252,0.98809523809523814
65536,balanced,gzip,1,252,0.003968253968253968
65536,balanced,bz2,0,252,0
65536,balanced,lzma,0,252,0
65536,balanced,zstd,251,252,0.99603174603174605
65536,fast_access,gzip,5,252,0.01984126984126984
65536,fast_access,bz2,0,252,0
65536,fast_access,lzma,0,252,0
65536,fast_access,zstd,247,252,0.98015873015873012
262144,archive,gzip,2,252,0.0079365079365079361
262144,archive,bz2,0,252,0
262144,archive,lzma,0,252,0
262144,archive,zstd,250,252,0.99206349206349209
262144,balanced,gzip,1,252,0.003968253968253968
262144,balanced,bz2,0,252,0
262144,balanced,lzma,0,252,0
262144,balanced,zstd,251,252,0.99603174603174605
262144,fast_access,gzip,1,252,0.003968253968253968
262144,fast_access,bz2,0,252,0
262144,fast_access,lzma,0,252,0
262144,fast_access,zstd,251,252,0.99603174603174605
1048576,archive,gzip,2,252,0.0079365079365079361
1048576,archive,bz2,0,252,0
1048576,archive,lzma,0,252,0
1048576,archive,zstd,250,252,0.99206349206349209
1048576,balanced,gzip,2,252,0.0079365079365079361
1048576,balanced,bz2,0,252,0
1048576,balanced,lzma,0,252,0
1048576,balanced,zstd,250,252,0.99206349206349209
1048576,fast_access,gzip,2,252,0.0079365079365079361
1048576,fast_access,bz2,0,252,0
1048576,fast_access,lzma,0,252,0
1048576,fast_access,zstd,250,252,0.99206349206349209
