sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000000,gzip,16384,16407,1.00140380859375,0.2096,0.0084,True
sample_000000,bz2,16384,16853,1.02862548828125,2.4596,0.7452,True
sample_000000,lzma,16384,16444,1.003662109375,6.6678,0.0407,True
sample_000000,zstd,16384,16394,1.0006103515625,0.0229,0.0014,True
sample_000001,gzip,16384,5175,0.31585693359375,2.5616,0.0324,True
sample_000001,bz2,16384,4566,0.2786865234375,1.2654,0.3269,True
sample_000001,lzma,16384,4916,0.300048828125,8.3783,0.4928,True
sample_000001,zstd,16384,5509,0.33624267578125,0.0941,0.0312,True
sample_000002,gzip,16384,176,0.0107421875,0.0244,0.0069,True
sample_000002,bz2,16384,224,0.013671875,2.4521,0.1474,True
sample_000002,lzma,16384,188,0.011474609375,5.1727,0.2273,True
sample_000002,zstd,16384,84,0.005126953125,0.0161,0.0024,True
sample_000003,gzip,16384,209,0.01275634765625,0.2179,0.0161,True
sample_000003,bz2,16384,361,0.02203369140625,0.2396,0.0926,True
sample_000003,lzma,16384,236,0.014404296875,5.1826,0.0595,True
sample_000003,zstd,16384,189,0.01153564453125,0.0089,0.0042,True
sample_000004,gzip,16384,7163,0.43719482421875,0.5108,0.0432,True
sample_000004,bz2,16384,6057,0.36968994140625,1.1912,0.3594,True
sample_000004,lzma,16384,5944,0.36279296875,8.4823,0.336,True
sample_000004,zstd,16384,7360,0.44921875,0.2673,0.0579,True
sample_000005,gzip,16384,7836,0.478271484375,0.273,0.045,True
sample_000005,bz2,16384,7888,0.4814453125,1.7939,0.6703,True
sample_000005,lzma,16384,7284,0.444580078125,7.7301,0.9174,True
sample_000005,zstd,16384,7900,0.482177734375,0.101,0.0201,True
sample_000006,gzip,65536,65574,1.000579833984375,0.9966,0.0122,True
sample_000006,bz2,65536,66173,1.0097198486328125,6.1385,2.6253,True
sample_000006,lzma,65536,65600,1.0009765625,20.5893,0.1209,True
sample_000006,zstd,65536,65546,1.000152587890625,0.1895,0.0032,True
sample_000007,gzip,65536,38331,0.5848846435546875,2.5941,0.209,True
sample_000007,bz2,65536,33485,0.5109405517578125,4.0648,1.8016,True
sample_000007,lzma,65536,36892,0.56292724609375,19.0117,1.4773,True
sample_000007,zstd,65536,32809,0.5006256103515625,0.1945,0.0336,True
sample_000008,gzip,65536,432,0.006591796875,0.1658,0.0178,True
sample_000008,bz2,65536,433,0.0066070556640625,7.179,0.491,True
sample_000008,lzma,65536,280,0.0042724609375,5.6181,0.1505,True
sample_000008,zstd,65536,148,0.00225830078125,0.1076,0.0023,True
sample_000009,gzip,65536,2098,0.032012939453125,1.759,0.0243,True
sample_000009,bz2,65536,2685,0.0409698486328125,0.9054,0.2695,True
sample_000009,lzma,65536,1628,0.02484130859375,12.5277,0.3184,True
sample_000009,zstd,65536,1509,0.0230255126953125,0.1302,0.0232,True
sample_000010,gzip,65536,27097,0.4134674072265625,3.8156,0.222,True
sample_000010,bz2,65536,23018,0.351226806640625,3.8838,1.5645,True
sample_000010,lzma,65536,21132,0.32244873046875,18.1449,1.5936,True
sample_000010,zstd,65536,27453,0.4188995361328125,0.4869,0.0754,True
sample_000011,gzip,65536,20489,0.3126373291015625,4.4687,0.123,True
sample_000011,bz2,65536,20160,0.3076171875,9.6159,1.8269,True
sample_000011,lzma,65536,18464,0.28173828125,19.7652,1.04,True
sample_000011,zstd,65536,20234,0.308746337890625,0.4067,0.0667,True
sample_000012,gzip,262144,262242,1.0003738403320312,4.4957,0.3381,True
sample_000012,bz2,262144,263750,1.0061264038085938,21.2648,12.358,True
sample_000012,lzma,262144,262216,1.000274658203125,62.5379,0.4005,True
sample_000012,zstd,262144,262159,1.0000572204589844,0.3029,0.0052,True
sample_000013,gzip,262144,112746,0.43009185791015625,50.0446,0.8096,True
sample_000013,bz2,262144,101835,0.3884696960449219,17.8171,8.6887,True
sample_000013,lzma,262144,107428,0.4098052978515625,94.9615,7.0242,True
sample_000013,zstd,262144,117195,0.4470634460449219,3.7496,0.9802,True
sample_000014,gzip,262144,430,0.00164031982421875,0.4125,0.2894,True
sample_000014,bz2,262144,72,0.000274658203125,42.9837,2.0635,True
sample_000014,lzma,262144,180,0.0006866455078125,10.0481,0.911,True
