mode,feature,importance
archive,file_size,0
archive,entropy,0
archive,unique_byte_count,0
archive,most_common_byte_ratio,0.095808536180429851
archive,zero_byte_ratio,0
archive,adjacent_repeat_ratio,0.26900292031706341
archive,average_run_length,0.5100090930366572
archive,max_run_length,0
archive,duplicate_block_ratio,0.054233625327283284
archive,bigram_diversity,0
archive,segment_entropy_mean,0
archive,segment_entropy_std,0.07094582513856619
balanced,file_size,0.16749792186201093
balanced,entropy,0
balanced,unique_byte_count,0
balanced,most_common_byte_ratio,0
balanced,zero_byte_ratio,0
balanced,adjacent_repeat_ratio,0
balanced,average_run_length,0.33321913533525327
balanced,max_run_length,0
balanced,duplicate_block_ratio,0.24406840042750164
balanced,bigram_diversity,0
balanced,segment_entropy_mean,0
balanced,segment_entropy_std,0.25521454237523422
fast_access,file_size,0
fast_access,entropy,0
fast_access,unique_byte_count,0
fast_access,most_common_byte_ratio,0.20997355197037723
fast_access,zero_byte_ratio,0
fast_access,adjacent_repeat_ratio,0
fast_access,average_run_length,0.33795927690400068
fast_access,max_run_length,0
fast_access,duplicate_block_ratio,0.035299172204285842
fast_access,bigram_diversity,0
fast_access,segment_entropy_mean,0.067504187604690125
fast_access,segment_entropy_std,0.34926381131664619
