sample_id,seed,split
sample_000000,20260983,train
sample_000001,20260984,train
sample_000002,20260985,train
sample_000003,20260986,train
sample_000004,20260987,train
sample_000005,20260988,train
sample_000006,20260989,train
sample_000007,20260990,train
sample_000008,20260991,train
sample_000009,20260992,train
sample_000010,20260993,test
sample_000011,20260994,train
sample_000012,20260995,train
sample_000013,20260996,train
sample_000014,20260997,train
sample_000015,20260998,train
sample_000016,20260999,train
sample_000017,20261000,train
sample_000018,20261001,train
sample_000019,20261002,train
sample_000020,20261003,train
sample_000021,20261004,train
sample_000022,20261005,train
sample_000023,20261006,test
sample_000024,20261007,train
sample_000025,20261008,test
sample_000026,20261009,train
sample_000027,20261010,train
sample_000028,20261011,train
sample_000029,20261012,train
sample_000030,20261013,test
sample_000031,20261014,train
sample_000032,20261015,train
sample_000033,20261016,train
sample_000034,20261017,train
sample_000035,20261018,train
sample_000036,20261019,train
sample_000037,20261020,train
sample_000038,20261021,train
sample_000039,20261022,test
sample_000040,20261023,train
sample_000041,20261024,train
sample_000042,20261025,train
sample_000043,20261026,train
sample_000044,20261027,test
sample_000045,20261028,train
sample_000046,20261029,train
sample_000047,20261030,train
sample_000048,20261031,train
sample_000049,20261032,train
sample_000050,20261033,train
sample_000051,20261034,train
sample_000052,20261035,train
sample_000053,20261036,train
sample_000054,20261037,test
sample_000055,20261038,test
sample_000056,20261039,train
sample_000057,20261040,train
sample_000058,20261041,train
sample_000059,20261042,test
sample_000060,20261043,test
sample_000061,20261044,train
sample_000062,20261045,train
sample_000063,20261046,test
sample_000064,20261047,train
sample_000065,20261048,train
sample_000066,20261049,test
sample_000067,20261050,test
sample_000068,20261051,train
sample_000069,20261052,train
sample_000070,20261053,test
sample_000071,20261054,train
sample_000072,20261055,test
sample_000073,20261056,train
sample_000074,20261057,train
sample_000075,20261058,train
sample_000076,20261059,test
sample_000077,20261060,train
sample_000078,20261061,test
sample_000079,20261062,train
sample_000080,20261063,train
sample_000081,20261064,train
sample_000082,20261065,train
sample_000083,20261066,train
sample_000084,20261067,train
sample_000085,20261068,train
sample_000086,20261069,test
sample_000087,20261070,train
sample_000088,20261071,test
sample_000089,20261072,train
sample_000090,20261073,train
sample_000091,20261074,train
sample_000092,20261075,train
sample_000093,20261076,train
sample_000094,20261077,train
sample_000095,20261078,train
sample_000096,20261079,test
sample_000097,20261080,train
sample_000098,20261081,train
sample_000099,20261082,train
sample_000100,20261083,train
sample_000101,20261084,test
sample_000102,20261085,train
sample_000103,20261086,train
sample_000104,20261087,train
sample_000105,20261088,train
sample_000106,20261089,train
sample_000107,20261090,test
sample_000108,20261091,train
sample_000109,20261092,train
sample_000110,20261093,test
sample_000111,20261094,train
sample_000112,20261095,train
sample_000113,20261096,train
sample_000114,20261097,train
sample_000115,20261098,train
sample_000116,20261099,train
sample_000117,20261100,train
sample_000118,20261101,train
sample_000119,20261102,train
sample_000120,20261103,test
sample_000121,20261104,train
sample_000122,20261105,train
sample_000123,20261106,train
sample_000124,20261107,train
sample_000125,20261108,train
sample_000126,20261109,train
sample_000127,20261110,train
sample_000128,20261111,train
sample_000129,20261112,train
sample_000130,20261113,train
sample_000131,20261114,train
sample_000132,20261115,train
sample_000133,20261116,train
sample_000134,20261117,train
sample_000135,20261118,train
sample_000136,20261119,test
sample_000137,20261120,test
sample_000138,20261121,train
sample_000139,20261122,test
sample_000140,20261123,train
sample_000141,20261124,train
sample_000142,20261125,train
sample_000143,20261126,train
sample_000144,20261127,train
sample_000145,20261128,train
sample_000146,20261129,train
sample_000147,20261130,train
sample_000148,20261131,train
sample_000149,20261132,train
sample_000150,20261133,train
sample_000151,20261134,train
sample_000152,20261135,train
sample_000153,20261136,train
sample_000154,20261137,train
sample_000155,20261138,train
sample_000156,20261139,train
sample_000157,20261140,train
sample_000158,20261141,test
sample_000159,20261142,train
sample_000160,20261143,train
sample_000161,20261144,train
sample_000162,20261145,train
sample_000163,20261146,train
sample_000164,20261147,train
sample_000165,20261148,train
sample_000166,20261149,train
sample_000167,20261150,train
sample_000168,20261151,test
sample_000169,20261152,train
sample_000170,20261153,train
sample_000171,20261154,train
sample_000172,20261155,train
sample_000173,20261156,train
sample_000174,20261157,test
sample_000175,20261158,train
sample_000176,20261159,train
sample_000177,20261160,train
sample_000178,20261161,train
sample_000179,20261162,train
sample_000180,20261163,train
sample_000181,20261164,train
sample_000182,20261165,train
sample_000183,20261166,train
sample_000184,20261167,test
sample_000185,20261168,train
sample_000186,20261169,train
sample_000187,20261170,train
sample_000188,20261171,train
sample_000189,20261172,train
sample_000190,20261173,train
sample_000191,20261174,train
sample_000192,20261175,train
sample_000193,20261176,train
sample_000194,20261177,train
sample_000195,20261178,train
sample_000196,20261179,train
sample_000197,20261180,train
sample_000198,20261181,test
sample_000199,20261182,test
sample_000200,20261183,train
sample_000201,20261184,train
sample_000202,20261185,train
sample_000203,20261186,train
sample_000204,20261187,train
sample_000205,20261188,train
sample_000206,20261189,train
sample_000207,20261190,train
sample_000208,20261191,test
sample_000209,20261192,test
sample_000210,20261193,test
sample_000211,20261194,train
sample_000212,20261195,train
sample_000213,20261196,test
sample_000214,20261197,train
sample_000215,20261198,test
sample_000216,20261199,train
sample_000217,20261200,train
sample_000218,20261201,test
sample_000219,20261202,train
sample_000220,20261203,train
sample_000221,20261204,test
sample_000222,20261205,train
sample_000223,20261206,train
sample_000224,20261207,train
sample_000225,20261208,train
sample_000226,20261209,train
sample_000227,20261210,train
sample_000228,20261211,train
sample_000229,20261212,train
sample_000230,20261213,train
sample_000231,20261214,train
sample_000232,20261215,train
sample_000233,20261216,train
sample_000234,20261217,train
sample_000235,20261218,test
sample_000236,20261219,train
sample_000237,20261220,test
sample_000238,20261221,train
sample_000239,20261222,train
sample_000240,20261223,train
sample_000241,20261224,train
sample_000242,20261225,train
sample_000243,20261226,train
sample_000244,20261227,test
sample_000245,20261228,train
sample_000246,20261229,train
sample_000247,20261230,test
sample_000248,20261231,train
sample_000249,20261232,test
sample_000250,20261233,train
sample_000251,20261234,train
sample_000252,20261235,train
sample_000253,20261236,train
sample_000254,20261237,train
sample_000255,20261238,train
sample_000256,20261239,test
sample_000257,20261240,train
sample_000258,20261241,train
sample_000259,20261242,test
sample_000260,20261243,test
sample_000261,20261244,test
sample_000262,20261245,train
sample_000263,20261246,train
sample_000264,20261247,train
sample_000265,20261248,test
sample_000266,20261249,train
sample_000267,20261250,train
sample_000268,20261251,train
sample_000269,20261252,train
sample_000270,20261253,train
sample_000271,20261254,train
sample_000272,20261255,train
sample_000273,20261256,train
sample_000274,20261257,train
sample_000275,20261258,train
sample_000276,20261259,train
sample_000277,20261260,test
sample_000278,20261261,train
sample_000279,20261262,train
sample_000280,20261263,train
sample_000281,20261264,test
sample_000282,20261265,train
sample_000283,20261266,train
sample_000284,20261267,train
sample_000285,20261268,train
sample_000286,20261269,test
sample_000287,20261270,train
sample_000288,20261271,train
sample_000289,20261272,train
sample_000290,20261273,test
sample_000291,20261274,train
sample_000292,20261275,train
sample_000293,20261276,train
sample_000294,20261277,test
sample_000295,20261278,train
sample_000296,20261279,test
sample_000297,20261280,train
sample_000298,20261281,test
sample_000299,20261282,test
sample_000300,20261283,train
sample_000301,20261284,train
sample_000302,20261285,train
sample_000303,20261286,train
sample_000304,20261287,train
sample_000305,20261288,test
sample_000306,20261289,train
sample_000307,20261290,train
sample_000308,20261291,train
sample_000309,20261292,test
sample_000310,20261293,test
sample_000311,20261294,train
sample_000312,20261295,test
sample_000313,20261296,train
sample_000314,20261297,test
sample_000315,20261298,train
sample_000316,20261299,train
sample_000317,20261300,train
sample_000318,20261301,test
sample_000319,20261302,train
sample_000320,20261303,train
sample_000321,20261304,test
sample_000322,20261305,train
sample_000323,20261306,test
sample_000324,20261307,train
sample_000325,20261308,train
sample_000326,20261309,train
sample_000327,20261310,test
sample_000328,20261311,train
sample_000329,20261312,train
sample_000330,20261313,train
sample_000331,20261314,test
sample_000332,20261315,test
sample_000333,20261316,train
sample_000334,20261317,test
sample_000335,20261318,train
sample_000336,20261319,train
sample_000337,20261320,train
sample_000338,20261321,train
sample_000339,20261322,train
sample_000340,20261323,train
sample_000341,20261324,train
sample_000342,20261325,train
sample_000343,20261326,train
sample_000344,20261327,train
sample_000345,20261328,train
sample_000346,20261329,train
sample_000347,20261330,train
sample_000348,20261331,train
sample_000349,20261332,train
sample_000350,20261333,test
sample_000351,20261334,test
sample_000352,20261335,train
sample_000353,20261336,train
sample_000354,20261337,train
sample_000355,20261338,test
sample_000356,20261339,train
sample_000357,20261340,test
sample_000358,20261341,train
sample_000359,20261342,train
sample_000360,20261343,train
sample_000361,20261344,train
sample_000362,20261345,train
sample_000363,20261346,test
sample_000364,20261347,train
sample_000365,20261348,test
sample_000366,20261349,train
sample_000367,20261350,train
sample_000368,20261351,train
sample_000369,20261352,train
sample_000370,20261353,train
sample_000371,20261354,test
sample_000372,20261355,train
sample_000373,20261356,train
sample_000374,20261357,train
sample_000375,20261358,train
sample_000376,20261359,train
sample_000377,20261360,test
sample_000378,20261361,train
sample_000379,20261362,train
sample_000380,20261363,test
sample_000381,20261364,test
sample_000382,20261365,train
sample_000383,20261366,train
sample_000384,20261367,train
sample_000385,20261368,train
sample_000386,20261369,train
sample_000387,20261370,train
sample_000388,20261371,test
sample_000389,20261372,train
sample_000390,20261373,train
sample_000391,20261374,train
sample_000392,20261375,train
sample_000393,20261376,train
sample_000394,20261377,test
sample_000395,20261378,train
sample_000396,20261379,train
sample_000397,20261380,train
sample_000398,20261381,train
sample_000399,20261382,train
sample_000400,20261383,train
sample_000401,20261384,train
sample_000402,20261385,train
sample_000403,20261386,train
sample_000404,20261387,train
sample_000405,20261388,test
sample_000406,20261389,train
sample_000407,20261390,train
sample_000408,20261391,train
sample_000409,20261392,train
sample_000410,20261393,train
sample_000411,20261394,train
sample_000412,20261395,train
sample_000413,20261396,train
sample_000414,20261397,train
sample_000415,20261398,train
sample_000416,20261399,train
sample_000417,20261400,train
sample_000418,20261401,train
sample_000419,20261402,train
sample_000420,20261403,test
sample_000421,20261404,train
sample_000422,20261405,train
sample_000423,20261406,test
sample_000424,20261407,train
sample_000425,20261408,train
sample_000426,20261409,train
sample_000427,20261410,train
sample_000428,20261411,test
sample_000429,20261412,test
sample_000430,20261413,train
sample_000431,20261414,train
sample_000432,20261415,test
sample_000433,20261416,train
sample_000434,20261417,train
sample_000435,20261418,train
sample_000436,20261419,train
sample_000437,20261420,train
sample_000438,20261421,train
sample_000439,20261422,train
sample_000440,20261423,test
sample_000441,20261424,train
sample_000442,20261425,train
sample_000443,20261426,train
sample_000444,20261427,train
sample_000445,20261428,test
sample_000446,20261429,train
sample_000447,20261430,test
sample_000448,20261431,train
sample_000449,20261432,train
sample_000450,20261433,train
sample_000451,20261434,train
sample_000452,20261435,train
sample_000453,20261436,test
sample_000454,20261437,train
sample_000455,20261438,train
sample_000456,20261439,test
sample_000457,20261440,train
sample_000458,20261441,train
sample_000459,20261442,train
sample_000460,20261443,train
sample_000461,20261444,train
sample_000462,20261445,train
sample_000463,20261446,train
sample_000464,20261447,train
sample_000465,20261448,test
sample_000466,20261449,train
sample_000467,20261450,train
