model,sample_id,mode,true_algorithm,predicted_algorithm,correct,regret,oracle_score,predicted_score,oracle_margin,prediction_confidence,baseline_algorithm,baseline_correct,recovered_from_baseline,harmed_vs_baseline,size_regret,compression_regret,decompression_regret,generator,seed,size,file_size,entropy,unique_byte_count,most_common_byte_ratio,zero_byte_ratio,adjacent_repeat_ratio,average_run_length,max_run_length,duplicate_block_ratio,bigram_diversity,segment_entropy_mean,segment_entropy_std,generation_parameters
baseline,sample_000916,archive,gzip,zstd,False,0.087833984992874981,0.30787331207215385,0.39570729706502883,0.087833984992874981,,zstd,False,False,False,0.084526048563237643,-0.1280123741734476,0.13132031060308497,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
baseline,sample_000916,balanced,gzip,zstd,False,0.065888976356470119,0.34182605545482192,0.40771503181129204,0.065888976356470119,,zstd,False,False,False,0.060375748973741178,-0.21335395695574599,0.21886718433847496,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
baseline,sample_000916,fast_access,gzip,zstd,False,0.3032766524965978,0.24776642466404236,0.55104307716064016,0.3032766524965978,,zstd,False,False,False,0.036225449384244705,-0.17068316556459681,0.43773436867694993,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
baseline,sample_000841,fast_access,gzip,zstd,False,0.086910320855078549,0.48730363077730465,0.5742139516323832,0.086910320855078549,,zstd,False,False,False,0.022518966270753182,-0.45216499094116858,0.5165563455254939,small_alphabet,20261824,16384,16384,1.9998389180676854,4,0.25396728515625,0,0.24507111029725936,1.3246018271485165,7,0,0.00097662210828297624,1.9995047671874295,0.0001549683030377176,"{""alphabet"":[23,61,153,184],""alphabet_size"":4,""distribution"":""uniform""}"
decision_tree,sample_000922,archive,zstd,gzip,False,0.27327479517736813,0.33886929353382317,0.6121440887111913,0.27327479517736813,1.0,zstd,True,False,True,-0.12183785565806342,0.35665871063702054,0.038453940198410974,structured,20261905,65536,65536,4.5503768411496219,31,0.1634521484375,0,0.012527656977187763,1.0126863941899096,4,0.355712890625,0.0025024795910582134,4.5382167524611274,0.010964593651810264,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000664,archive,zstd,gzip,False,0.12328232709293674,0.37281401714473822,0.49609634423767496,0.12328232709293674,1.0,zstd,True,False,True,-0.14581785433823938,0.2774374012747936,-0.0083372198436175316,structured,20261647,262144,262144,4.5661931519567043,31,0.16142654418945312,0,0.012531328320802004,1.0126903063057495,4,0.41363525390625,0.00250244140625,4.5484966238298892,0.010653480643473896,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000286,archive,zstd,gzip,False,0.12134462198307583,0.55034437342805242,0.67168899541112825,0.12134462198307583,1.0,zstd,True,False,True,-0.14613258654086486,0.30192815203366868,-0.034450943509727938,structured,20261269,1048576,1048576,4.789321118137325,35,0.087702751159667969,0,0.016484276279712943,1.0167605457625442,4,0.6229095458984375,0.00262451171875,4.7873649018849163,0.0078728104036838008,"{""format"":""log"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000916,archive,gzip,zstd,False,0.087833984992874981,0.30787331207215385,0.39570729706502883,0.087833984992874981,1.0,zstd,False,False,False,0.084526048563237643,-0.1280123741734476,0.13132031060308497,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000916,balanced,gzip,zstd,False,0.065888976356470119,0.34182605545482192,0.40771503181129204,0.065888976356470119,1.0,zstd,False,False,False,0.060375748973741178,-0.21335395695574599,0.21886718433847496,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000922,fast_access,zstd,gzip,False,0.5515085243239416,0.14522969722878135,0.69673822155272291,0.5515085243239416,1.0,zstd,True,False,True,-0.052216223853455757,0.47554494751602744,0.12817980066136991,structured,20261905,65536,65536,4.5503768411496219,31,0.1634521484375,0,0.012527656977187763,1.0126863941899096,4,0.355712890625,0.0025024795910582134,4.5382167524611274,0.010964593651810264,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000604,fast_access,zstd,gzip,False,0.48629967771178834,0.13814927412559069,0.62444895183737903,0.48629967771178834,1.0,zstd,True,False,True,-0.029397314829464102,0.36741148260673895,0.1482855099345135,structured,20261587,16384,16384,4.7879482046737358,35,0.087646484375,0,0.017823353476164316,1.0181456624409644,4,0.1357421875,0.010498687664041995,4.7864345254209546,0.007091727576751708,"{""format"":""log"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000916,fast_access,gzip,zstd,False,0.3032766524965978,0.24776642466404236,0.55104307716064016,0.3032766524965978,1.0,zstd,False,False,False,0.036225449384244705,-0.17068316556459681,0.43773436867694993,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000664,fast_access,zstd,gzip,False,0.27963243607604005,0.18399507451253874,0.46362751058857882,0.27963243607604005,1.0,zstd,True,False,True,-0.062493366144959733,0.36991653503305821,-0.02779073281205844,structured,20261647,262144,262144,4.5661931519567043,31,0.16142654418945312,0,0.012531328320802004,1.0126903063057495,4,0.41363525390625,0.00250244140625,4.5484966238298892,0.010653480643473896,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
decision_tree,sample_000256,fast_access,zstd,gzip,False,0.12681314183934311,0.32511099848039449,0.4519241403197376,0.12681314183934311,1.0,zstd,True,False,True,-0.062794309116154731,0.3575832203927396,-0.16797576943724174,structured,20261239,262144,262144,4.5664638062694491,31,0.1614532470703125,0,0.012584734286248345,1.0127450791013928,4,0.41778564453125,0.00250244140625,4.549371070373585,0.01129277548588988,"{""format"":""jsonl"",""group_count"":16,""value_range"":[0,9999]}"
