model,mode,dimension,value,test_count,error_count,error_rate,mean_regret
baseline,archive,generator,long_runs,33,0,0,0
baseline,archive,generator,mixed,32,0,0,0
baseline,archive,generator,random,36,0,0,0
baseline,archive,generator,repeated_pattern,36,0,0,0
baseline,archive,generator,small_alphabet,34,0,0,0
baseline,archive,generator,structured,31,1,0.032258064516129031,0.0028333543546088702
baseline,archive,size,16384,48,1,0.020833333333333332,0.0018298746873515622
baseline,archive,size,65536,44,0,0,0
baseline,archive,size,262144,51,0,0,0
baseline,archive,size,1048576,59,0,0,0
baseline,balanced,generator,long_runs,33,0,0,0
baseline,balanced,generator,mixed,32,0,0,0
baseline,balanced,generator,random,36,0,0,0
baseline,balanced,generator,repeated_pattern,36,0,0,0
baseline,balanced,generator,small_alphabet,34,0,0,0
baseline,balanced,generator,structured,31,1,0.032258064516129031,0.0021254508502087134
baseline,balanced,size,16384,48,1,0.020833333333333332,0.0013726870074264607
baseline,balanced,size,65536,44,0,0,0
baseline,balanced,size,262144,51,0,0,0
baseline,balanced,size,1048576,59,0,0,0
baseline,fast_access,generator,long_runs,33,0,0,0
baseline,fast_access,generator,mixed,32,0,0,0
baseline,fast_access,generator,random,36,0,0,0
baseline,fast_access,generator,repeated_pattern,36,0,0,0
baseline,fast_access,generator,small_alphabet,34,1,0.029411764705882353,0.0025561859075023102
baseline,fast_access,generator,structured,31,1,0.032258064516129031,0.0097831178224708961
baseline,fast_access,size,16384,48,2,0.041666666666666664,0.0081288952781599245
baseline,fast_access,size,65536,44,0,0,0
baseline,fast_access,size,262144,51,0,0,0
baseline,fast_access,size,1048576,59,0,0,0
decision_tree,archive,generator,long_runs,33,0,0,0
decision_tree,archive,generator,mixed,32,0,0,0
decision_tree,archive,generator,random,36,0,0,0
decision_tree,archive,generator,repeated_pattern,36,0,0,0
decision_tree,archive,generator,small_alphabet,34,0,0,0
decision_tree,archive,generator,structured,31,4,0.12903225806451613,0.019539862233750184
decision_tree,archive,size,16384,48,1,0.020833333333333332,0.0018298746873515622
decision_tree,archive,size,65536,44,1,0.022727272727272728,0.006210790799485639
decision_tree,archive,size,262144,51,1,0.019607843137254902,0.0024173005312340535
decision_tree,archive,size,1048576,59,1,0.016949152542372881,0.0020566885081877259
decision_tree,balanced,generator,long_runs,33,0,0,0
decision_tree,balanced,generator,mixed,32,0,0,0
decision_tree,balanced,generator,random,36,0,0,0
decision_tree,balanced,generator,repeated_pattern,36,0,0,0
decision_tree,balanced,generator,small_alphabet,34,0,0,0
decision_tree,balanced,generator,structured,31,1,0.032258064516129031,0.0021254508502087134
decision_tree,balanced,size,16384,48,1,0.020833333333333332,0.0013726870074264607
decision_tree,balanced,size,65536,44,0,0,0
decision_tree,balanced,size,262144,51,0,0,0
decision_tree,balanced,size,1048576,59,0,0,0
decision_tree,fast_access,generator,long_runs,33,0,0,0
decision_tree,fast_access,generator,mixed,32,0,0,0
decision_tree,fast_access,generator,random,36,0,0,0
decision_tree,fast_access,generator,repeated_pattern,36,0,0,0
decision_tree,fast_access,generator,small_alphabet,34,1,0.029411764705882353,0.0025561859075023102
decision_tree,fast_access,generator,structured,31,5,0.16129032258064516,0.056371949433797121
decision_tree,fast_access,size,16384,48,3,0.0625,0.018260138563822182
decision_tree,fast_access,size,65536,44,1,0.022727272727272728,0.012534284643725946
decision_tree,fast_access,size,262144,51,2,0.039215686274509803,0.0079695211355957484
decision_tree,fast_access,size,1048576,59,0,0,0
random_forest,archive,generator,long_runs,33,0,0,0
random_forest,archive,generator,mixed,32,0,0,0
random_forest,archive,generator,random,36,0,0,0
random_forest,archive,generator,repeated_pattern,36,0,0,0
random_forest,archive,generator,small_alphabet,34,0,0,0
random_forest,archive,generator,structured,31,2,0.064516129032258063,0.011648670328072359
random_forest,archive,size,16384,48,1,0.020833333333333332,0.0018298746873515622
random_forest,archive,size,65536,44,1,0.022727272727272728,0.006210790799485639
random_forest,archive,size,262144,51,0,0,0
random_forest,archive,size,1048576,59,0,0,0
random_forest,balanced,generator,long_runs,33,0,0,0
random_forest,balanced,generator,mixed,32,0,0,0
random_forest,balanced,generator,random,36,0,0,0
random_forest,balanced,generator,repeated_pattern,36,0,0,0
random_forest,balanced,generator,small_alphabet,34,0,0,0
random_forest,balanced,generator,structured,31,1,0.032258064516129031,0.0021254508502087134
random_forest,balanced,size,16384,48,1,0.020833333333333332,0.0013726870074264607
random_forest,balanced,size,65536,44,0,0,0
random_forest,balanced,size,262144,51,0,0,0
random_forest,balanced,size,1048576,59,0,0,0
random_forest,fast_access,generator,long_runs,33,0,0,0
random_forest,fast_access,generator,mixed,32,0,0,0
random_forest,fast_access,generator,random,36,0,0,0
random_forest,fast_access,generator,repeated_pattern,36,0,0,0
random_forest,fast_access,generator,small_alphabet,34,1,0.029411764705882353,0.0025561859075023102
random_forest,fast_access,generator,structured,31,2,0.064516129032258063,0.027573715381307724
random_forest,fast_access,size,16384,48,2,0.041666666666666664,0.0081288952781599245
random_forest,fast_access,size,65536,44,1,0.022727272727272728,0.012534284643725946
random_forest,fast_access,size,262144,51,0,0,0
random_forest,fast_access,size,1048576,59,0,0,0
