mode,split,algorithm,count,sample_count,fraction
archive,train,gzip,7,806,0.0086848635235732014
archive,train,bz2,0,806,0
archive,train,lzma,0,806,0
archive,train,zstd,799,806,0.99131513647642677
archive,test,gzip,1,202,0.0049504950495049506
archive,test,bz2,0,202,0
archive,test,lzma,0,202,0
archive,test,zstd,201,202,0.99504950495049505
balanced,train,gzip,4,806,0.0049627791563275434
balanced,train,bz2,0,806,0
balanced,train,lzma,0,806,0
balanced,train,zstd,802,806,0.99503722084367241
balanced,test,gzip,1,202,0.0049504950495049506
balanced,test,bz2,0,202,0
balanced,test,lzma,0,202,0
balanced,test,zstd,201,202,0.99504950495049505
fast_access,train,gzip,10,806,0.012406947890818859
fast_access,train,bz2,0,806,0
fast_access,train,lzma,0,806,0
fast_access,train,zstd,796,806,0.98759305210918114
fast_access,test,gzip,2,202,0.0099009900990099011
fast_access,test,bz2,0,202,0
fast_access,test,lzma,0,202,0
fast_access,test,zstd,200,202,0.99009900990099009
