mode,true_algorithm,predicted_algorithm,count
archive,gzip,gzip,0
archive,gzip,bz2,0
archive,gzip,lzma,0
archive,gzip,zstd,1
archive,bz2,gzip,0
archive,bz2,bz2,0
archive,bz2,lzma,0
archive,bz2,zstd,0
archive,lzma,gzip,0
archive,lzma,bz2,0
archive,lzma,lzma,0
archive,lzma,zstd,0
archive,zstd,gzip,1
archive,zstd,bz2,0
archive,zstd,lzma,0
archive,zstd,zstd,200
balanced,gzip,gzip,0
balanced,gzip,bz2,0
balanced,gzip,lzma,0
balanced,gzip,zstd,1
balanced,bz2,gzip,0
balanced,bz2,bz2,0
balanced,bz2,lzma,0
balanced,bz2,zstd,0
balanced,lzma,gzip,0
balanced,lzma,bz2,0
balanced,lzma,lzma,0
balanced,lzma,zstd,0
balanced,zstd,gzip,0
balanced,zstd,bz2,0
balanced,zstd,lzma,0
balanced,zstd,zstd,201
fast_access,gzip,gzip,0
fast_access,gzip,bz2,0
fast_access,gzip,lzma,0
fast_access,gzip,zstd,2
fast_access,bz2,gzip,0
fast_access,bz2,bz2,0
fast_access,bz2,lzma,0
fast_access,bz2,zstd,0
fast_access,lzma,gzip,0
fast_access,lzma,bz2,0
fast_access,lzma,lzma,0
fast_access,lzma,zstd,0
fast_access,zstd,gzip,1
fast_access,zstd,bz2,0
fast_access,zstd,lzma,0
fast_access,zstd,zstd,199
